id_penjualan,tanggal,produk_id,jumlah,total_harga
1,10/1/2024,1,50,5000:00:00
2,10/2/2024,2,30,3000:00:00
3,10/3/2024,3,20,2000:00:00
4,10/4/2024,1,25,2500:00:00
5,10/5/2024,2,15,1500:00:00
6,10/6/2024,3,40,4000:00:00
7,10/7/2024,1,10,1000:00:00
8,10/8/2024,2,45,4500:00:00
9,10/9/2024,3,60,6000:00:00
10,10/10/2024,1,35,3500:00:00
11,10/11/2024,2,50,5000:00:00
12,10/12/2024,3,20,2000:00:00
13,10/13/2024,1,55,5500:00:00
14,10/14/2024,2,25,2500:00:00
15,10/15/2024,3,30,3000:00:00
16,10/16/2024,1,40,4000:00:00
17,10/17/2024,2,35,3500:00:00
18,10/18/2024,3,50,5000:00:00
19,10/19/2024,1,45,4500:00:00
20,10/20/2024,2,55,5500:00:00
